ICDId;Category;ICD10CODE;DESCRIPTION
881;B20-B24;B20.0/3;AIDS resulting in tuberculosis
882;B20-B24;B20.1;HIV disease resulting in other bacterial infections
883;B20-B24;B20.2;HIV disease resulting in cytomegaloviral disease(AIDS/HIV CAUSING CYTOMEGALOVIRAL DISEASE)
884;B20-B24;B20.2/0;HIV resulting in cytomegaloviral disease
885;B20-B24;B20.2/1;AIDS resulting in cytomegaloviral disease
886;B20-B24;B20.3;HIV disease resulting in other viral infections
887;B20-B24;B20.4;HIV disease resulting in candidiasis(AIDS/HIV RESULTING IN CANDIDIASIS)
888;B20-B24;B20.4/0;HIV resulting in candidiasis
889;B20-B24;B20.4/1;AIDS resulting in candidiasis
890;B20-B24;B20.5;HIV disease resulting in other mycoses
891;B20-B24;B20.6;HIV disease resulting in Pneumocystis carinii pneumonia(AIDS/HIV RESULTING IN PNEUMOCYSTIS CARINII PNEUMONIA)
892;B20-B24;B20.6/0;HIV resulting in Pneumocystis carinii pneumonia
893;B20-B24;B20.6/1;HIV resulting in Pneumocystis jirovecii pneumonia
894;B20-B24;B20.6/2;AIDS resulting in Pneumocystis carinii pneumonia
895;B20-B24;B20.6/3;AIDS resulting in Pneumocystis jirovecii pneumonia
896;B20-B24;B20.7;HIV disease resulting in multiple infections(AIDS/HIV RESULTING IN MULTIPLE INFECTIONS)
897;B20-B24;B20.7/0;HIV resulting in multiple infections
898;B20-B24;B20.7/1;AIDS resulting in multiple infections
899;B20-B24;B20.8;HIV disease resulting in other infectious and parasitic diseases
900;B20-B24;B20.9;HIV disease resulting in unspecified infectious or parasitic disease(AIDS/HIV WITH INFECTION (UNSPECIFIED INFECTION)
901;B20-B24;B20.9/0;HIV with infection
902;B20-B24;B20.9/1;AIDS with infection
903;B20-B24;B21;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
904;B20-B24;B21.0;HIV disease resulting in Kaposi's sarcoma(AIDS/HIV RESULTING IN KAPOSi's SARCOMA)
905;B20-B24;B21.0/0;HIV resulting in Kaposi sarcoma
906;B20-B24;B21.0/1;AIDS resulting in Kaposi sarcoma
907;B20-B24;B21.1;HIV disease resulting in Burkitt's lymphoma(AIDS/HIV RESULTING IN BURKITt's LYMPHOMA)
908;B20-B24;B21.1/0;HIV resulting in Burkitt lymphoma
909;B20-B24;B21.1/1;AIDS resulting in Burkitt lymphoma
910;B20-B24;B21.2;HIV disease resulting in other types of non-Hodgkin's lymphoma
911;B20-B24;B21.3;HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue
912;B20-B24;B21.7;HIV disease resulting in multiple malignant neoplasms(AIDS/HIV RESULTING IN MULTIPLE MALIGNANT NEOPLASM)
913;B20-B24;B21.7/0;HIV resulting in multiple malignant neoplasms
914;B20-B24;B21.7/1;AIDS resulting in multiple malignant neoplasms
915;B20-B24;B21.8;HIV disease resulting in other malignant neoplasms
916;B20-B24;B21.9;HIV disease resulting in unspecified malignant neoplasm(AIDS/HIV RESULTING IN MALIGNANT NEOPLASMS, UNSPECIFIED)
917;B20-B24;B21.9/0;HIV resulting in malignant neoplasm
918;B20-B24;B21.9/1;AIDS resulting in malignant neoplasm
919;B20-B24;B22;Human immunodeficiency virus [HIV] disease resulting in other specified diseases
920;B20-B24;B22.0;HIV disease resulting in encephalopathy(AIDS/HIV RESULTING IN ENCEPHALOPATHY)
921;B20-B24;B22.0/0;HIV resulting in encephalopathy
922;B20-B24;B22.0/1;AIDS resulting in encephalopathy
923;B20-B24;B22.1;HIV disease resulting in lymphoid interstitial pneumonitis(AIDS/HIV RESULTING IN PYMPHOID INTERSTITIAL PNEUMONITIS)
924;B20-B24;B22.1/0;HIV resulting in lymphoid interstitial pneumonitis
925;B20-B24;B22.1/1;AIDS resulting in lymphoid– interstitial pneumonitis
926;B20-B24;B22.2;HIV disease resulting in wasting syndrome(AIDS/HIV RESULTING IN WASTING SYNDROME)
927;B20-B24;B22.2/0;HIV resulting in wasting syndrome
928;B20-B24;B22.2/1;AIDS resulting in wasting syndrome
929;B20-B24;B22.7;HIV disease resulting in multiple diseases classified elsewhere(AIDS/HIV RESULTING IN MULTIPLE DISEASES)
930;B20-B24;B22.7/0;HIV resulting in multiple diseases
931;B20-B24;B22.7/1;AIDS resulting in multiple diseases
932;B20-B24;B23;Human immunodeficiency virus [HIV] disease resulting in other conditions
933;B20-B24;B23.0;Acute HIV infection syndrome
934;B20-B24;B23.1;HIV disease resulting in (persistent) generalized lymphadenopathy(AIDS/HIV RESULTING IN GENERALIZED LYMPHADENOPATHY)
935;B20-B24;B23.1/0;HIV resulting in generalized lymphadenopathy
936;B20-B24;B23.1/1;AIDS resulting in generalized lymphadenopathy
937;B20-B24;B23.2;HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified
938;B20-B24;B23.8;HIV disease resulting in other specified conditions
939;B20-B24;B24;Unspecified human immunodeficiency virus [HIV] disease(AIDS/HIV Infection/Disease)(AIDS RELATED COMPLEX, ARC)
940;B20-B24;B24/.0;Human Immunodeficiency Virus (HIV) Disease
941;B20-B24;B24/.1;Acquired immune deficiency syndrome (AIDS)
942;B20-B24;B24/.2;AIDS-related complex (ARC)
943;B25-B34;B25;Cytomegaloviral disease
944;B25-B34;B25.0;Cytomegaloviral pneumonitis
945;B25-B34;B25.1;Cytomegaloviral hepatitis
946;B25-B34;B25.2;Cytomegaloviral pancreatitis
947;B25-B34;B25.8;Other cytomegaloviral diseases
948;B25-B34;B25.9;Cytomegaloviral disease, unspecified
949;B25-B34;B26;Mumps,B25-B34
950;B25-B34;B26.0;Mumps orchitis
951;B25-B34;B26.1;Mumps meningitis
952;B25-B34;B26.2;Mumps encephalitis
953;B25-B34;B26.3;Mumps pancreatitis
954;B25-B34;B26.8;Mumps with other complications
955;B25-B34;B26.9;Mumps without complication(EPIDEMIC/INFECTIOUS PAROTITIS)
956;B25-B34;B26.9/0;Mumps,B25-B34
957;B25-B34;B26.9/1;Epidemic parotitis
958;B25-B34;B26.9/2;Infectious parotitis
959;B25-B34;B27;Infectious mononucleosis
960;B25-B34;B27.0;Gammaherpesviral mononucleosis
961;B25-B34;B27.1;Cytomegaloviral mononucleosis
962;B25-B34;B27.8;Other infectious mononucleosis
963;B25-B34;B27.9;Infectious mononucleosis, unspecified
964;B25-B34;B30;Viral conjunctivitis
965;B25-B34;B30.0;Keratoconjunctivitis due to adenovirus
966;B25-B34;B30.1;Conjunctivitis due to adenovirus
967;B25-B34;B30.2;Viral pharyngoconjunctivitis
968;B25-B34;B30.3;Acute epidemic hemorrhagic conjunctivitis(Enteroviral)
969;B25-B34;B30.8;Other viral conjunctivitis
970;B25-B34;B30.9;Viral conjunctivitis, unspecified
971;B25-B34;B33;Other viral diseases, not elsewhere classified
972;B25-B34;B33.0;Epidemic myalgia
973;B25-B34;B33.1;Ross River disease
974;B25-B34;B33.2;Viral carditis
975;B25-B34;B33.3;Retrovirus infections, not elsewhere classified
976;B25-B34;B33.8;Other specified viral diseases
977;B25-B34;B34;Viral infection of unspecified site
978;B25-B34;B34.0;Adenovirus infection, unspecified
979;B25-B34;B34.1;Enterovirus infection, unspecified
980;B25-B34;B34.2;Coronavirus infection, unspecified
981;B25-B34;B34.3;Parvovirus infection, unspecified
982;B25-B34;B34.4;Papovavirus infection, unspecified
983;B25-B34;B34.8;Other viral infections of unspecified site
984;B25-B34;B34.9;Viral infection, unspecified(ACUTE VIRAL INFECTION, SYSTEMATIC VIRAL INFECTION, VIRAL DISEASE)
985;B25-B34;B34.9/0;Systemic Viral Infection (SVI)
986;B35-B49;B35;Dermatophytosis,B35-B49
987;B35-B49;B35.0;Tinea barbae and tinea capitis
988;B35-B49;B35.1;Tinea unguium
989;B35-B49;B35.2;Tinea manuum
990;B35-B49;B35.3;Tinea pedis
991;B35-B49;B35.4;Tinea corporis
992;B35-B49;B35.5;Tinea imbricata
993;B35-B49;B35.6;Tinea cruris
994;B35-B49;B35.8;Other dermatophytoses
995;B35-B49;B35.9;Dermatophytosis, unspecified
996;B35-B49;B36;Other superficial mycoses
997;B35-B49;B36.0;Pityriasis versicolor
998;B35-B49;B36.1;Tinea nigra
999;B35-B49;B36.2;White piedra
1000;B35-B49;B36.3;Black piedra
1001;B35-B49;B36.8;Other specified superficial mycoses
1002;B35-B49;B36.9;Superficial mycosis, unspecified
1003;B35-B49;B37;Candidiasis,B35-B49
1004;B35-B49;B37.0;Candidal stomatitis(ORAL CANDIDIASIS, ORAL MONILIASIS, MOUTH/ORAL THRUSH)
1005;B35-B49;B37.1;Pulmonary candidiasis
1006;B35-B49;B37.2;Candidiasis of skin and nail
1007;B35-B49;B37.3;Candidiasis of vulva and vagina
1008;B35-B49;B37.4;Candidiasis of other urogenital sites
1009;B35-B49;B37.5;Candidal meningitis
1010;B35-B49;B37.6;Candidal endocarditis
1011;B35-B49;B37.7;Candidal septicemia
1012;B35-B49;B37.8;Candidiasis of other sites
1013;B35-B49;B37.9;Candidiasis, unspecified(THRUSH)
1014;B35-B49;B38;Coccidioidomycosis,B35-B49
1015;B35-B49;B38.0;Acute pulmonary coccidioidomycosis
1016;B35-B49;B38.1;Chronic pulmonary coccidioidomycosis
1017;B35-B49;B38.2;Pulmonary coccidioidomycosis, unspecified
1018;B35-B49;B38.3;Cutaneous coccidioidomycosis
1019;B35-B49;B38.4;Coccidioidomycosis meningitis
1020;B35-B49;B38.7;Disseminated coccidioidomycosis
1021;B35-B49;B38.8;Other forms of coccidioidomycosis
1022;B35-B49;B38.9;Coccidioidomycosis, unspecified
1023;B35-B49;B39;Histoplasmosis,B35-B49
1024;B35-B49;B39.0;Acute pulmonary histoplasmosis capsulati
1025;B35-B49;B39.1;Chronic pulmonary histoplasmosis capsulati
1026;B35-B49;B39.2;Pulmonary histoplasmosis capsulati, unspecified
1027;B35-B49;B39.3;Disseminated histoplasmosis capsulati
1028;B35-B49;B39.4;Histoplasmosis capsulati, unspecified
1029;B35-B49;B39.5;Histoplasmosis duboisii
1030;B35-B49;B39.9;Histoplasmosis, unspecified
1031;B35-B49;B40;Blastomycosis,B35-B49
1032;B35-B49;B40.0;Acute pulmonary blastomycosis
1033;B35-B49;B40.1;Chronic pulmonary blastomycosis
1034;B35-B49;B40.2;Pulmonary blastomycosis, unspecified
1035;B35-B49;B40.3;Cutaneous blastomycosis
1036;B35-B49;B40.7;Disseminated blastomycosis
1037;B35-B49;B40.8;Other forms of blastomycosis
1038;B35-B49;B40.9;Blastomycosis, unspecified
1039;B35-B49;B41;Paracoccidioidomycosis,B35-B49
1040;B35-B49;B41.0;Pulmonary paracoccidioidomycosis
1041;B35-B49;B41.7;Disseminated paracoccidioidomycosis
1042;B35-B49;B41.8;Other forms of paracoccidioidomycosis
1043;B35-B49;B41.9;Paracoccidioidomycosis, unspecified
1044;B35-B49;B42;Sporotrichosis,B35-B49
1045;B35-B49;B42.0;Pulmonary sporotrichosis
1046;B35-B49;B42.1;Lymphocutaneous sporotrichosis
1047;B35-B49;B42.7;Disseminated sporotrichosis
1048;B35-B49;B42.8;Other forms of sporotrichosis
1049;B35-B49;B42.9;Sporotrichosis, unspecified
1050;B35-B49;B43;Chromomycosis and pheomycotic abscess
1051;B35-B49;B43.0;Cutaneous chromomycosis
1052;B35-B49;B43.1;Pheomycotic brain abscess
1053;B35-B49;B43.2;Subcutaneous pheomycotic abscess and cyst
1054;B35-B49;B43.8;Other forms of chromomycosis
1055;B35-B49;B43.9;Chromomycosis, unspecified
1056;B35-B49;B44;Aspergillosis,B35-B49
1057;B35-B49;B44.0;Invasive pulmonary aspergillosis
1058;B35-B49;B44.1;Other pulmonary aspergillosis
1059;B35-B49;B44.2;Tonsillar aspergillosis
1060;B35-B49;B44.7;Disseminated aspergillosis
1061;B35-B49;B44.8;Other forms of aspergillosis
1062;B35-B49;B44.9;Aspergillosis, unspecified
1063;B35-B49;B45;Cryptococcosis,B35-B49
1064;B35-B49;B45.0;Pulmonary cryptococcosis
1065;B35-B49;B45.1;Cerebral cryptococcosis
1066;B35-B49;B45.2;Cutaneous cryptococcosis
1067;B35-B49;B45.3;Osseous cryptococcosis
1068;B35-B49;B45.7;Disseminated cryptococcosis
1069;B35-B49;B45.8;Other forms of cryptococcosis
1070;B35-B49;B45.9;Cryptococcosis, unspecified
1071;B35-B49;B46;Zygomycosis,B35-B49
1072;B35-B49;B46.0;Pulmonary mucormycosis
1073;B35-B49;B46.1;Rhinocerebral mucormycosis
1074;B35-B49;B46.2;Gastrointestinal mucormycosis
1075;B35-B49;B46.3;Cutaneous mucormycosis
1076;B35-B49;B46.4;Disseminated mucormycosis
1077;B35-B49;B46.5;Mucormycosis, unspecified
1078;B35-B49;B46.8;Other zygomycoses
1079;B35-B49;B46.9;Zygomycosis, unspecified
1080;B35-B49;B47;Mycetoma,B35-B49
1081;B35-B49;B47.0;Eumycetoma,B35-B49
1082;B35-B49;B47.1;Actinomycetoma,B35-B49
1083;B35-B49;B47.9;Mycetoma, unspecified
1084;B35-B49;B48;Other mycoses, not elsewhere classified
1085;B35-B49;B48.0;Lobomycosis,B35-B49
1086;B35-B49;B48.1;Rhinosporidiosis,B35-B49
1087;B35-B49;B48.2;Allescheriasis,B35-B49
1088;B35-B49;B48.3;Geotrichosis,B35-B49
1089;B35-B49;B48.4;Penicillosis,B35-B49
1090;B35-B49;B48.7;Opportunistic mycoses
1091;B35-B49;B48.8;Other specified mycoses
1092;B35-B49;B49;Unspecified mycosis(FUNGAL INFECTION NEC)
1093;B50-B64;B50;Plasmodium falciparum malaria
1094;B50-B64;B50.0;Plasmodium falciparum malaria with cerebral complications(CEREBRAL MALARIA)
1095;B50-B64;B50.0/0;Cerebral malaria
1096;B50-B64;B50.0/1;Plasmodium falciparum malaria, with cerebral complications
1097;B50-B64;B50.8;Other severe and complicated Plasmodium falciparum malaria
1098;B50-B64;B50.8/0;Severe Plasmodium falciparum malaria
1099;B50-B64;B50.8/1;Plasmodium falciparum malarial anemia
1100;B50-B64;B50.9;Plasmodium falciparum malaria, unspecified(WITHOUT COMPLICATION)
1101;B50-B64;B51;Plasmodium vivax malaria
1102;B50-B64;B51.0;Plasmodium vivax malaria with rupture of spleen
1103;B50-B64;B51.8;Plasmodium vivax malaria with other complications
1104;B50-B64;B51.8/0;Plasmodium vivax malarial anemia
1105;B50-B64;B51.9;Plasmodium vivax malaria without complication
1106;B50-B64;B52;Plasmodium malariae malaria
1107;B50-B64;B52.0;Plasmodium malariae malaria with nephropathy
1108;B50-B64;B52.8;Plasmodium malariae malaria with other complications
1109;B50-B64;B52.8/0;Plasmodium malariae malarial anemia
1110;B50-B64;B52.9;Plasmodium malariae malaria without complication
1111;B50-B64;B53;Other parasitologically confirmed malaria
1112;B50-B64;B53.0;Plasmodium ovale malaria
1113;B50-B64;B53.1;Malaria due to simian plasmodia
1114;B50-B64;B53.8;Other parasitologically confirmed malaria, not elsewhere classified
1115;B50-B64;B54;Unspecified malaria(MALARIAL ANEMIA)(MALARIA, CLINICALLY DIAGNOSED WITHOUT PARASITOLOGICAL CONFIRMATION)
1116;B50-B64;B54/.0;Malaria,B50-B64
1117;B50-B64;B54/.1;Malarial anemia
1118;B50-B64;B55;Leishmaniasis,B50-B64
1119;B50-B64;B55.0;Visceral leishmaniasis
1120;B50-B64;B55.1;Cutaneous leishmaniasis
1121;B50-B64;B55.2;Mucocutaneous leishmaniasis
1122;B50-B64;B55.9;Leishmaniasis, unspecified
1123;B50-B64;B56;African trypanosomiasis
1124;B50-B64;B56.0;Gambiense trypanosomiasis
1125;B50-B64;B56.1;Rhodesiense trypanosomiasis
1126;B50-B64;B56.9;African trypanosomiasis, unspecified
1127;B50-B64;B57;Chagas' disease
1128;B50-B64;B57.0;Acute Chagas' disease with heart involvement
1129;B50-B64;B57.1;Acute Chagas' disease without heart involvement
1130;B50-B64;B57.2;Chagas' disease (chronic) with heart involvement
1131;B50-B64;B57.3;Chagas' disease (chronic) with digestive system involvement
1132;B50-B64;B57.4;Chagas' disease (chronic) with nervous system involvement
1133;B50-B64;B57.5;Chagas' disease (chronic) with other organ involvement
1134;B50-B64;B58;Toxoplasmosis,B50-B64
1135;B50-B64;B58.0;Toxoplasma oculopathy
1136;B50-B64;B58.1;Toxoplasma hepatitis
1137;B50-B64;B58.2;Toxoplasma meningoencephalitis
1138;B50-B64;B58.3;Pulmonary toxoplasmosis
1139;B50-B64;B58.8;Toxoplasmosis with other organ involvement
1140;B50-B64;B58.9;Toxoplasmosis, unspecified
1141;B50-B64;B59;Pneumocystosis,B50-B64
1142;B50-B64;B60;Other protozoal diseases, not elsewhere classified
1143;B50-B64;B60.0;Babesiosis,B50-B64
1144;B50-B64;B60.1;Acanthamebiasis,B50-B64
1145;B50-B64;B60.2;Naegleriasis,B50-B64
1146;B50-B64;B60.8;Other specified protozoal diseases
1147;B50-B64;B64;Unspecified protozoal disease
1148;B65-B83;B65;Schistosomiasis[Bilharziasis],B65-B83
1149;B65-B83;B65.0;Schistosomiasis due to Schistosoma haematobium[Urinary Schistosomiasis]
1150;B65-B83;B65.1;Schistosomiasis due to Schistosoma mansoni[Intestinal Schistosomiasis]
1151;B65-B83;B65.2;Schistosomiasis due to Schistosoma japonicum
1152;B65-B83;B65.3;Cercarial dermatitis
1153;B65-B83;B65.8;Other schistosomiasis
1154;B65-B83;B65.9;Schistosomiasis, unspecified
1155;B65-B83;B65.9/0;Schistosomiasis,B65-B83
1156;B65-B83;B66;Other fluke infections
1157;B65-B83;B66.0;Opisthorchiasis,B65-B83
1158;B65-B83;B66.1;Clonorchiasis,B65-B83
1159;B65-B83;B66.2;Dicroceliasis,B65-B83
1160;B65-B83;B66.3;Fascioliasis,B65-B83
1161;B65-B83;B66.4;Paragonimiasis,B65-B83
1162;B65-B83;B66.5;Fasciolopsiasis,B65-B83
1163;B65-B83;B66.8;Other specified fluke infections(HETEROPHYIASIS)
1164;B65-B83;B66.9;Fluke infection, unspecified
1165;B65-B83;B67;Echinococcosis,B65-B83
1166;B65-B83;B67.0;Echinococcus granulosus infection of liver
1167;B65-B83;B67.1;Echinococcus granulosus infection of lung
1168;B65-B83;B67.2;Echinococcus granulosus infection of bone
1169;B65-B83;B67.3;Echinococcus granulosus infection, other and multiple sites
1170;B65-B83;B67.4;Echinococcus granulosus infection, unspecified
1171;B65-B83;B67.5;Echinococcus multilocularis infection of liver
1172;B65-B83;B67.6;Echinococcus multilocularis infection, other and multiple sites
1173;B65-B83;B67.7;Echinococcus multilocularis infection, unspecified
1174;B65-B83;B67.8;Echinococcosis, unspecified, of liver
1175;B65-B83;B67.9;Echinococcosis, other and unspecified
1176;B65-B83;B68;Taeniasis,B65-B83
1177;B65-B83;B68.0;Taenia solium taeniasis
1178;B65-B83;B68.1;Taenia saginata taeniasis
1179;B65-B83;B68.9;Taeniasis, unspecified
1180;B65-B83;B69;Cysticercosis,B65-B83
1181;B65-B83;B69.0;Cysticercosis of central nervous system
1182;B65-B83;B69.1;Cysticercosis of eye
1183;B65-B83;B69.8;Cysticercosis of other sites
1184;B65-B83;B69.9;Cysticercosis, unspecified
1185;B65-B83;B70;Diphyllobothriasis and sparganosis
1186;B65-B83;B70.0;Diphyllobothriasis,B65-B83
1187;B65-B83;B70.1;Sparganosis,B65-B83
1188;B65-B83;B71;Other cestode infections
1189;B65-B83;B71.0;Hymenolepiasis,B65-B83
1190;B65-B83;B71.1;Dipylidiasis,B65-B83
1191;B65-B83;B71.8;Other specified cestode infections
1192;B65-B83;B71.9;Cestode infection, unspecified
1193;B65-B83;B72;Dracunculiasis,B65-B83
1194;B65-B83;B73;Onchocerciasis,B65-B83
1195;B65-B83;B74;Filariasis,B65-B83
1196;B65-B83;B74.0;Filariasis due to Wuchereria bancrofti
1197;B65-B83;B74.1;Filariasis due to Brugia malayi
1198;B65-B83;B74.2;Filariasis due to Brugia timori
1199;B65-B83;B74.3;Loiasis,B65-B83
1200;B65-B83;B74.4;Mansonelliasis,B65-B83
1201;B65-B83;B74.8;Other filariases
1202;B65-B83;B74.9;Filariasis, unspecified
1203;B65-B83;B75;Trichinellosis,B65-B83
1204;B65-B83;B76;Hookworm diseases
1205;B65-B83;B76.0;Ancylostomiasis,B65-B83
1206;B65-B83;B76.1;Necatoriasis,B65-B83
1207;B65-B83;B76.8;Other hookworm diseases
1208;B65-B83;B76.9;Hookworm disease, unspecified
1209;B65-B83;B77;Ascariasis,B65-B83
1210;B65-B83;B77.0;Ascariasis (INFECTION) with intestinal complications
1211;B65-B83;B77.8;Ascariasis (INFECTION) with other complications
1212;B65-B83;B77.9;Ascariasis (INFECTION/INFESTATION), unspecified
1213;B65-B83;B78;Strongyloidiasis,B65-B83
1214;B65-B83;B78.0;Intestinal strongyloidiasis
1215;B65-B83;B78.1;Cutaneous strongyloidiasis
1216;B65-B83;B78.7;Disseminated strongyloidiasis
1217;B65-B83;B78.9;Strongyloidiasis, unspecified
1218;B65-B83;B79;Trichuriasis,B65-B83
1219;B65-B83;B80;Enterobiasis,B65-B83
1220;B65-B83;B81;Other intestinal helminthiases, not elsewhere classified
1221;B65-B83;B81.0;Anisakiasis,B65-B83
1222;B65-B83;B81.1;Intestinal capillariasis
1223;B65-B83;B81.2;Trichostrongyliasis,B65-B83
1224;B65-B83;B81.3;Intestinal angiostrongyliasis
1225;B65-B83;B81.4;Mixed intestinal helminthiases
1226;B65-B83;B81.8;Other specified intestinal helminthiases
1227;B65-B83;B82;Unspecified intestinal parasitism
1228;B65-B83;B82.0;Intestinal helminthiasis, unspecified(ROUNDWORM INFESTATION)
1229;B65-B83;B82.9;Intestinal parasitism, unspecified
1230;B65-B83;B82.9/0;Intestinal parasitism
1231;B65-B83;B83;Other helminthiases
1232;B65-B83;B83.0;Visceral larva migrans
1233;B65-B83;B83.1;Gnathostomiasis,B65-B83
1234;B65-B83;B83.2;Angiostrongyliasis due to Parastrongylus cantonensis
1235;B65-B83;B83.3;Syngamiasis,B65-B83
1236;B65-B83;B83.4;Internal hirudiniasis
1237;B65-B83;B83.8;Other specified helminthiases
1238;B65-B83;B83.9;Helminthiasis, unspecified
1239;B85-B89;B85;Pediculosis and phthiriasis
1240;B85-B89;B85.0;Pediculosis due to Pediculus humanus capitis
1241;B85-B89;B85.1;Pediculosis due to Pediculus humanus corporis
1242;B85-B89;B85.2;Pediculosis, unspecified
1243;B85-B89;B85.3;Phthiriasis,B85-B89
1244;B85-B89;B85.4;Mixed pediculosis and phthiriasis
1245;B85-B89;B86;Scabies,B85-B89
1246;B85-B89;B87;Myiasis,B85-B89
1247;B85-B89;B87.0;Cutaneous myiasis
1248;B85-B89;B87.1;Wound myiasis
1249;B85-B89;B87.2;Ocular myiasis
1250;B85-B89;B87.3;Nasopharyngeal myiasis
1251;B85-B89;B87.4;Aural myiasis
1252;B85-B89;B87.8;Myiasis of other sites
1253;B85-B89;B87.9;Myiasis, unspecified
1254;B85-B89;B88;Other infestations
1255;B85-B89;B88.0;Other acariasis
1256;B85-B89;B88.1;Tungiasis[Sandflea Infestation]
1257;B85-B89;B88.2;Other arthropod infestations
1258;B85-B89;B88.3;External hirudiniasis
1259;B85-B89;B88.8;Other specified infestations
1260;B85-B89;B88.9;Infestation, unspecified
1261;B85-B89;B89;Unspecified parasitic disease
1262;B85-B89;B89/.0;Parasitism,B85-B89
1263;B90-B94;B90;Sequelae of tuberculosis
1264;B90-B94;B90.0;Sequelae of central nervous system tuberculosis
1265;B90-B94;B90.0/0;Late effect of tuberculous meningitis
1266;B90-B94;B90.1;Sequelae of genitourinary tuberculosis
1267;B90-B94;B90.1/0;Late effect of genitourinary tuberculosis
1268;B90-B94;B90.2;Sequelae of tuberculosis of bones and joints
1269;B90-B94;B90.2/0;Late effect of tuberculosis of bones
1270;B90-B94;B90.2/1;Late effect of tuberculosis of joints
1271;B90-B94;B90.2/2;Late effect of tuberculosis of bones and joints
1272;B90-B94;B90.8;Sequelae of tuberculosis of other organs
1273;B90-B94;B90.9;Sequelae of respiratory and unspecified tuberculosis
1274;B90-B94;B90.9/0;Late effect of respiratory tuberculosis
1275;B90-B94;B90.9/1;Late effect of tuberculosis
1276;B90-B94;B90.9/2;Late effect of pulmonary tuberculosis
1277;B90-B94;B91;Sequelae of poliomyelitis
1278;B90-B94;B92;Sequelae of leprosy
1279;B90-B94;B94;Sequelae of other and unspecified infectious and parasitic diseases
1280;B90-B94;B94.0;Sequelae of trachoma
1281;B90-B94;B94.1;Sequelae of viral encephalitis
1282;B90-B94;B94.2;Sequelae of viral hepatitis
1283;B90-B94;B94.8;Sequelae of other specified infectious and parasitic diseases
1284;B90-B94;B94.9;Sequelae of unspecified infectious or parasitic disease
1285;B95-B97;B95;Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified to other chapters
1286;B95-B97;B95.0;Streptococcus, group A, as the cause of diseases classified to other chapters
1287;B95-B97;B95.1;Streptococcus, group B, as the cause of diseases classified to other chapters
1288;B95-B97;B95.2;Streptococcus, group D, as the cause of diseases classified to other chapters
1289;B95-B97;B95.3;Streptococcus pneumoniae as the cause of diseases classified to other chapters
1290;B95-B97;B95.4;Other streptococcus as the cause of diseases classified to other chapters
1291;B95-B97;B95.5;Unspecified streptococcus as the cause of diseases classified to other chapters
1292;B95-B97;B95.6;Staphylococcus aureus as the cause of diseases classified to other chapters
1293;B95-B97;B95.7;Other staphylococcus as the cause of diseases classified to other chapters
1294;B95-B97;B95.8;Unspecified staphylococcus as the cause of diseases classified to other chapters
1295;B95-B97;B96;Other bacterial agents as the cause of diseases classified to other chapters
1296;B95-B97;B96.0;Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters
1297;B95-B97;B96.1;Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
1298;B95-B97;B96.2;Escherichia coli [E. coli ] as the cause of diseases classified to other chapters
1299;B95-B97;B96.3;Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
1300;B95-B97;B96.4;Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
1301;B95-B97;B96.5;Pseudomonas (aeruginosa)(mallei)(pseudomallei) as the cause of diseases classified to other chapters
1302;B95-B97;B96.6;Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters
1303;B95-B97;B96.7;Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters
1304;B95-B97;B96.8;Other specified bacterial agents as the cause of diseases classified to other chapters (Acute Respiratory Infection, Bacterial)
1305;B95-B97;B97;Viral agents as the cause of diseases classified to other chapters
1306;B95-B97;B97.0;Adenovirus as the cause of diseases classified to other chapters
1307;B95-B97;B97.1;Enterovirus as the cause of diseases classified to other chapters
1308;B95-B97;B97.2;Coronavirus as the cause of diseases classified to other chapters
1309;B95-B97;B97.2/0;Middle East Respiratory Syndrome Corona Virus (MersCoV)
1310;B95-B97;B97.3;Retrovirus as the cause of diseases classified to other chapters
1311;B95-B97;B97.4;Respiratory syncytial virus as the cause of diseases classified to other chapters
1312;B95-B97;B97.5;Reovirus as the cause of diseases classified to other chapters
1313;B95-B97;B97.6;Parvovirus as the cause of diseases classified to other chapters
1314;B95-B97;B97.7;Papillomavirus as the cause of diseases classified to other chapters
1315;B95-B97;B97.8;Other viral agents as the cause of diseases classified to other chapters
1316;B99;B99;Other and unspecified infectious diseases(INFECTION)
1317;C00-C14;C00;Malignant neoplasm of lip
1318;C00-C14;C00.0;External upper lip
1319;C00-C14;C00.1;External lower lip
1320;C00-C14;C00.2;External lip, unspecified
1321;C00-C14;C00.3;Upper lip, inner aspect
1322;C00-C14;C00.4;Lower lip, inner aspect
1323;C00-C14;C00.5;Lip, unspecified, inner aspect
1324;C00-C14;C00.6;Commissure of lip
1325;C00-C14;C00.8;Overlapping lesion of lip
1326;C00-C14;C00.9;Lip, unspecified
